SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.001}: 0.25, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.01}: 0.25806451612903225, 0.176
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.1}: 0.3387096774193548, 0.264
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.24193548387096775, 0.232
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.24193548387096775, 0.288
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.28225806451612906, 0.408
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.25, 0.224
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3225806451612903, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.22580645161290322, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 500, 'learning_rate': 'constant', 'eta0': 0.001}: 0.23387096774193547, 0.176
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 500, 'learning_rate': 'constant', 'eta0': 0.01}: 0.27419354838709675, 0.168
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 500, 'learning_rate': 'constant', 'eta0': 0.1}: 0.27419354838709675, 0.192
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 500, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.25806451612903225, 0.248
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 500, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.2903225806451613, 0.264
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 500, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.2903225806451613, 0.408
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 500, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.20161290322580644, 0.264
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 500, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.25, 0.208
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 500, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.28225806451612906, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2903225806451613, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.25806451612903225, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.3064516129032258, 0.28
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.25806451612903225, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.27419354838709675, 0.28
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 1000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.2661290322580645, 0.28
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.20967741935483872, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.29838709677419356, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 1000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.25806451612903225, 0.248
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2903225806451613, 0.344
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.23387096774193547, 0.232
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 10000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.2661290322580645, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.29838709677419356, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.28225806451612906, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 10000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.29838709677419356, 0.264
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.25, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.1935483870967742, 0.264
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 10000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.27419354838709675, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.1935483870967742, 0.2
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.2661290322580645, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.29838709677419356, 0.352
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.28225806451612906, 0.328
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.2903225806451613, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.29838709677419356, 0.272
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.2661290322580645, 0.24
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.20967741935483872, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.21774193548387097, 0.216
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.28225806451612906, 0.328
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.20967741935483872, 0.192
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.31451612903225806, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.31451612903225806, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.20967741935483872, 0.24
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.21774193548387097, 0.136
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.25, 0.288
SGDClassifier {'penalty': 'l1', 'alpha': 0.01, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.2661290322580645, 0.264
